name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Coglio TI,16,0.8,0.8,30,1,1,48,1.6,1,99,2.475,1,46.26923751831055,8.683917999267578,124962.703125,695997.5
Fusio TI,37,1.85,1,103,3.43,1,69,2.3,1,172,4.3,1,46.4437255859375,8.661762237548828,144330.59375,693987.3125
Giumaglio TI,15,0.75,0.75,31,1.03,1,47,1.57,1,100,2.5,1,46.27362823486328,8.681777954101562,125448.1015625,695824.8125
Gordevio TI,9,0.45,0.45,17,0.57,0.57,42,1.4,1,86,2.15,1,46.22444534301758,8.766252517700195,120088.3046875,702428.25
Linescio TI,24,1.2,1,69,2.3,1,56,1.87,1,137,3.425,1,46.31148147583008,8.579568862915039,129536.203125,687885.625
Lodano TI,15,0.75,0.75,28,0.93,0.93,47,1.57,1,97,2.425,1,46.2584114074707,8.685297012329102,123761,696122.875
Maggia TI,12,0.6,0.6,25,0.83,0.83,45,1.5,1,93,2.325,1,46.26484680175781,8.673748970031738,124462.25,695221.3125
Menzonio TI,27,1.35,1,77,2.57,1,60,2,1,146,3.65,1,46.361175537109375,8.6409273147583,135130.203125,692527
Moghegno TI,12,0.6,0.6,22,0.73,0.73,44,1.47,1,91,2.275,1,46.24055099487305,8.706903457641602,121802.5,697820.8125
Peccia TI,34,1.7,1,96,3.2,1,67,2.23,1,165,4.125,1,46.407657623291016,8.647383689880371,140304.59375,692944.3125
Prato-Sornico TI,30,1.5,1,82,2.73,1,62,2.07,1,152,3.8,1,,,,
Someo TI,20,1,1,34,1.13,1,52,1.73,1,102,2.55,1,46.28733444213867,8.662301063537598,126948.203125,694299.8125
Aigle VD,0,0,0,0,0,0,28,0.93,0.93,31,0.775,0.78,46.316410064697266,6.9697465896606445,129554.0859375,563882.9375
Bex VD,9,0.45,0.45,6,0.2,0.2,34,1.13,1,38,0.95,0.95,46.25168991088867,7.071270942687988,122317.59375,571669.0625
Chessel VD,13,0.65,0.65,36,1.2,1,30,1,1,63,1.575,1,46.35297775268555,6.89655065536499,133655.484375,558273.25
Corbeyrier VD,8,0.4,0.4,23,0.77,0.77,32,1.07,1,62,1.55,1,46.37037658691406,6.969378471374512,135553.34375,563890.625
Gryon VD,18,0.9,0.9,55,1.83,1,43,1.43,1,88,2.2,1,46.28823471069336,7.096418380737305,126371.421875,573626.125
Lavey-Morcles VD,9,0.45,0.45,24,0.8,0.8,34,1.13,1,58,1.45,1,46.20759201049805,7.041569709777832,117426.5546875,569353.6875
Leysin VD,15,0.75,0.75,28,0.93,0.93,41,1.37,1,67,1.675,1,46.35298538208008,7.014457702636719,133599.984375,567348.875
Noville VD,11,0.55,0.55,29,0.97,0.97,25,0.83,0.83,55,1.375,1,46.379852294921875,6.896856784820557,136642.640625,558317.5
Ollon VD,13,0.65,0.65,6,0.2,0.2,39,1.3,1,45,1.125,1,46.30168914794922,7.031705856323242,127890.59375,568646.875
Ormont-Dessous VD,14,0.7,0.7,43,1.43,1,40,1.33,1,83,2.075,1,46.37465286254883,7.073464870452881,135985.890625,571902.125
Ormont-Dessus VD,17,0.85,0.85,49,1.63,1,44,1.47,1,88,2.2,1,46.34282684326172,7.1630754470825195,132419.59375,578784.5
Rennaz VD,8,0.4,0.4,19,0.63,0.63,24,0.8,0.8,50,1.25,1,46.375274658203125,6.917162895202637,136123.15625,559876.375
Roche VD,6,0.3,0.3,4,0.13,0.13,24,0.8,0.8,34,0.85,0.85,46.35930252075195,6.925262928009033,134343.609375,560487.9375
Villeneuve VD,7,0.35,0.35,5,0.17,0.17,25,0.83,0.83,30,0.75,0.75,46.40644454956055,6.971596717834473,139561.671875,564085.25
Yvorne VD,5,0.25,0.25,9,0.3,0.3,29,0.97,0.97,49,1.225,1,46.342044830322266,6.925300598144531,132425.15625,560478.25
Apples VD,17,0.85,0.85,36,1.2,1,17,0.57,0.57,36,0.9,0.9,46.555484771728516,6.418627738952637,156532.046875,521780.65625
Aubonne VD,18,0.9,0.9,29,0.97,0.97,18,0.6,0.6,29,0.725,0.73,46.49246597290039,6.372371673583984,149574.5625,518138.375
Ballens VD,20,1,1,41,1.37,1,20,0.67,0.67,41,1.025,1,46.55519104003906,6.373643398284912,156545.5,518330.8125
Berolle VD,24,1.2,1,61,2.03,1,24,0.8,0.8,61,1.525,1,46.5677604675293,6.32995080947876,157989.09375,515000.21875
Bière VD,24,1.2,1,46,1.53,1,24,0.8,0.8,46,1.15,1,46.548770904541016,6.313678741455078,155895.90625,513722.5
Bougy-Villars VD,22,1.1,1,49,1.63,1,22,0.73,0.73,49,1.225,1,46.4846076965332,6.356086254119873,148718.09375,516876.09375
Féchy VD,17,0.85,0.85,34,1.13,1,17,0.57,0.57,34,0.85,0.85,46.479244232177734,6.372758388519287,148104.375,518148.0625
Gimel VD,22,1.1,1,43,1.43,1,22,0.73,0.73,43,1.075,1,46.528038024902344,6.294387340545654,153612.734375,512209.375
Longirod VD,27,1.35,1,60,2,1,27,0.9,0.9,60,1.5,1,46.50526809692383,6.240736961364746,151143.484375,508054.78125
