Name,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel
"Aesch BL, Höhenweg",611.783,256.896,345,Bus
"Aesch BL, Neumatt",611.699,257.828,316,Bus
"Aesch BL, Schwimmbad",612.4,258.7,299,Bus
"Aesch BL, Schürhof",609.324,258.382,344,Bus
"Aesch BL, Schützenmattschule",612.246,258.063,299,Bus
"Aesch BL, Sonnenweg",612.629,259.463,288,Bus
"Aesch BL, Sportanl Löhrenacker",611.058,258.008,312,Bus
Aesch LU SGH,659.892,234.469,485,Schiff
"Aesch LU, Berg",660.98,234.76,485,Bus
"Aesch LU, Kreuz",660.73,234.355,485,Bus
"Aesch LU, Vorderdorf",660.78,234.03,485,Bus
"Aesch ZH, Gemeindehaus",675.581,243.52,537,Bus
"Aesch ZH, Heligenmattstrasse",675.407,243.108,555,Bus
"Aeschau, Dorf",624.635,195.35,740,Bus
"Aeschau, Gärtnerei",624.682,194.959,696,Bus
"Aeschau, Horben Schmiede",624.809,194.657,700,Bus
"Aeschau, Horben Schulhaus",625.493,194.307,705,Bus
"Aeschau, Säge",624.395,195.661,736,Bus
"Aeschi b. Spiez, Alleestrasse",620.096,167.613,859,Bus
"Aeschi b. Spiez, Friedegg",620.219,166.729,902,Bus
"Aeschi b. Spiez, Hasleren",618.86,168.207,804,Bus
"Aeschi b. Spiez, Längenboden",621.007,167.492,803,Bus
"Aeschi b. Spiez, Lengmattli",619.338,167.966,839,Bus
"Aeschi b. Spiez, Mustermattli",620.039,167.039,887,Bus
"Aeschi b. Spiez, Niederdorf",619.52,167.755,848,Bus
"Aeschi b. Spiez, Post",619.715,167.538,861,Bus
"Aeschi b. Spiez, Wachthubel",620.856,166.629,938,Bus
"Aeschi SO, Dorf",617.124,225.53,500,Bus
"Aeschi SO, Kirche",616.819,225.596,500,Bus
"Aeschi SO, Ost",617.779,225.638,477,Bus
"Aeschiried, untere Allmi",622.695,165.13,1032,Bus
"Aeschiried, Chemihütte",621.554,166.378,984,Bus
"Aeschiried, Ebenen",621.186,166.549,954,Bus
"Aeschiried, Fuchsgraben",623.595,164.345,1014,Bus
"Aeschiried, Kapelle",621.635,166.228,1000,Bus
"Aeschiried, Schulhaus",621.854,166.013,1014,Bus
"Aeschiried, Staldeweid",622.97,164.82,1035,Bus
"Aeschiried, Suld Pochtenfall",624.955,163.485,1080,Bus
"Aeschlen b. O., Abzw. Bleiken",614.66,187.013,713,Bus
"Aeschlen b. O., Bareichte",617.41,187.432,899,Bus
"Aeschlen b. O., Dorf",615.507,187.331,762,Bus
"Aeschlen b. O., Julisgraben",616.233,187.477,818,Bus
"Aeschlen ob Gunten, Dorf",619.85,174.323,770,Bus
"Aeschlen ob Gunten, Erliboden",620.39,174.423,820,Bus
"Aeschlen ob Gunten, Mattikehr",619.769,174.09,742,Bus
Aespli,606.453,208.598,517,(Zug)
"Aetigkofen, Dorf",602.099,219.412,609,Bus
"Aetingen, Fröscheren",604.349,219.163,470,Bus
"Aetingen, Post",605.029,220.104,479,Bus
"Aetingen, Schulhaus",604.819,219.838,483,Bus
"Aettenschwil, Oberdorf",670.69,226.2,491,Bus
"Aettenschwil, Post",670.73,226.35,490,Bus
"Aeugst am Albis, Dorf",679.21,235.742,700,Bus
"Aeugst am Albis, Grossacher",679.656,235.556,689,Bus
"Aeugst am Albis, Höchweg",678.85,236.075,700,Bus
"Aeugst am Albis, Müliberg",678.675,237.225,700,Bus
"Aeugst am Albis, Wängi",678.478,234.925,700,Bus
"Aeugstertal, Kloster",679.3,237.575,672,Bus
"Aeugstertal, Landhus",680.35,237.1,672,Bus
Aeusseres Emdthal,618.422,167.632,703,Bus
"Affeltrangen, Märwilerstrasse",719.843,265.241,489,Bus
"Affoltern a. A., Bahnhof",676.267,236.591,494,Bus
"Affoltern a. A., Bezirksspital",677.075,237.2,494,Bus
"Affoltern a. A., Blitzgbach",676.745,237.677,497,Bus
"Affoltern a. A., Friedhof",676.249,237.353,485,Bus
"Affoltern a. A., Kronenplatz",676.85,237.2,494,Bus
"Affoltern a. A., Lilienberg",677.75,236.95,494,Bus
"Affoltern a. A., Sternen",676.9,236.7,494,Bus
"Affoltern a. A., Stigeli",677.209,236.898,494,Bus
"Affoltern a. A., Weinberg",677.374,237.044,494,Bus
Affoltern am Albis,676.265,236.619,494,Zug
"Affoltern i.E., Bannholz",621.739,212.809,805,Bus
"Affoltern i.E., Dorf",622.242,212.676,803,Bus
Affoltern-Weier,623.651,212.389,735,"Zug, Bedarfshalt"
"Affoltern-Weier, Bahnhof",623.631,212.417,735,Bus
"Agarn, Abzw. St. Josefheim",616.531,128.379,627,Bus
"Agarn, Dorf",617.328,127.364,627,Bus
"Agarone, i Lög",713.873,115.336,375,Bus
"Agarone, Bivio per Cugnasco",713.615,115.24,333,Bus
"Agarone, Chiossette",713.04,115.168,368,Bus
"Agarone, Colletto",713.749,115.429,410,Bus
"Agarone, Paese",713.311,115.165,365,Bus
"Agarone, Piandesso",712.788,115.168,350,Bus
"Agarone, Roccolo",713.632,115.4,402,Bus
"Agarone, Ronco Morasci",713.809,115.287,349,Bus
Agasul,698.514,253.527,603,Bus
"Agiez, L'Epine",528.83,174.275,520,Bus
"Agiez, Vers-le-Pont",529.107,174.644,507,Bus
Agno,713.29,94.875,274,Zug
"Agno, Aeroporto",713.768,95.425,275,Bus
"Agno, Chiesa",713.017,95.121,297,Bus
"Agno, Posta/FLP",713.314,94.921,275,Bus
"Agra, Bivio",714.432,91.986,541,Bus
"Agra, Paese",714.243,91.721,556,Bus
"Agra, Roncone",714.078,91.265,508,Bus
"Agra, Rondelli",714.38,91.754,535,Bus
Agriswil,581.359,200.262,502,Bus
Aigle,563.416,129.605,404,Zug
Aigle-Dépôt,564.318,129.76,430,Zug
Aigle-Dépôt ASD,564.716,129.543,440,Zug
Aigle-Hôpital,563.595,128.895,403,Zug
Aigle-Parc Aventure,565.152,129.423,488,Zug
Aigle-Place-du-Marché,563.93,129.646,417,Zug
Aigle-Place-du-Marché (DIAB),563.89,129.585,417,(Zug)
"Aigle, av. Margencel",563.515,129.751,406,Bus
"Aigle, ch. des Lieugex",563.16,130,400,Bus
"Aigle, gare",563.487,129.528,406,Bus
"Aigle, hôpital",563.407,129.066,401,Bus
"Aigle, place du Marché",563.92,129.661,417,Bus
"Aigle, rte d'Evian",563.103,129.784,399,Bus
"Aigle, Champex",561.857,129.051,383,Bus
"Aigle, Collège Grande Eau",563.975,129.8,415,Bus
"Aigle, Collège Planchette",562.877,129.904,396,Bus
"Aigle, Dents-du-Midi",563.046,129.261,396,Bus
"Aigle, Golf",562.291,129.451,388,Bus
"Aigle, La Mêlée",561.406,129.86,385,Bus
"Aigle, Novassales",563.342,129.352,403,Bus
"Aigle, Pautex",562.697,129.618,393,Bus
"Aigle, Pré d'Emoz A",562.996,130.185,397,Bus
"Aigle, Pré d'Emoz B",562.71,130.112,394,Bus
"Aigle, Service Auto",561.654,129.403,386,Bus
Aire-la-Ville,492.306,116.347,430,Bus
"Aire-la-Ville, Moulin-Ratte",492.489,116.137,384,Bus
"Aire-la-Ville, Pont-de-Peney",492.302,116.662,373,Bus
"Aire-la-Ville, Treulaz",492.431,115.892,395,Bus
Airolo,689.764,153.583,1142,Zug
Airolo FAB,689.284,153.183,1132,Luftseilbahn
"Airolo, Biv. per Madrano",691.377,153.261,1102,Bus
"Airolo, Bivio per Nante",689.495,153.244,1163,Bus
"Airolo, Buco dei Cavalli",690.104,153.698,1163,Bus
"Airolo, Centro Sportivo",690.584,153.124,1270,Bus
"Airolo, Cioss di fuori",688.285,153.147,1211,Bus
"Airolo, Funivia",689.19,153.275,1166,Bus
"Airolo, Galleria Banchi",686.673,154.513,1968,Bus
"Airolo, Pian Secco Belvédère",687.144,154.423,1926,Bus
"Airolo, Posta",689.88,153.625,1130,Bus
"Airolo, Stazione",689.733,153.599,1143,Bus
Al Motto (c bin),716.215,111.509,397,(Zug)
Al Motto Est,716.709,111.402,383,(Zug)
Al Sasso,717.374,111.706,362,(Zug)
Alabardia,706.363,110.533,202,Bus
Albbruck,652.1,271.515,320,Zug
"Alberswil, Burgrain",642.925,221.35,524,Bus
"Alberswil, Dorf",642.73,222.298,520,Bus
"Alberswil, Unterdorf",642.651,222.911,516,Bus
Albeuve,570.592,151.92,767,Zug
Albigna,769.894,134.223,2100,Luftseilbahn
"Albinen, Dorben",614.357,133.499,1361,Bus
"Albinen, Panorama",615.423,131.502,1312,Bus
"Albinen, Post",615.106,132.112,1274,Bus
"Albinen, Rhodania",615.211,131.767,1290,Bus
"Albinen, Schreinerei",614.967,132.343,1295,Bus
"Albinen, Schwelli",614.94,132.475,1300,Bus
Albinenleitern LLAT,614.182,134.421,1554,Luftseilbahn
"Albinenleitern, Abzw. Flaschen",614.04,133.87,1492,Bus
"Albinenleitern, Flaschen",614.184,134.399,1554,Bus
"Albligen, Abzw. Harris",591.174,188.337,652,Bus
"Albligen, Dorf",590.833,188.972,701,Bus
"Albligen, Kurried",590.664,189.592,704,Bus
"Albligen, Ruchmühle",592.198,188.372,615,Bus
Albonago,719.011,96.385,480,Standseilbahn
"Albonago, ai Ronchi",718.851,97.079,378,Bus
"Albonago, al Bosco",718.915,97.027,408,Bus
"Albonago, Funicolare",718.982,96.389,460,Bus
"Albonago, Gradinata",718.791,96.426,380,Bus
"Albonago, Paese",718.972,96.695,464,Bus
"Albonago, Roccolo",719.014,96.256,544,Bus
"Albonago, Sentiero Castagni",718.97,96.883,440,Bus
"Albonago, Sentiero Cavan",718.769,96.867,360,Bus
"Albonago, Via Max Frisch",718.729,96.909,371,Bus
"Albonago, Via Ruscello",718.723,96.655,360,Bus
"Alchenflüh, Bernstrasse Ost",610.298,214.012,509,Bus
"Alchenstorf, Dorf",615.112,219.382,504,Bus
"Alchenstorf, Oberalchenstorf",615.59,219.253,506,Bus
"Alchenstorf, Unteralchenstorf",614.276,219.475,494,Bus
"Alchenstorf, Wil",616.062,218.082,522,Bus
Aldesago,719.421,96.665,570,Standseilbahn
"Aldesago, Arcate",719.42,96.528,646,Bus
"Aldesago, Narbostra",719.197,96.4,576,Bus
"Aldesago, Paese",719.354,96.254,607,Bus
"Aldesago, Pontaccio",719.129,96.406,553,Bus
"Aldesago, Ronchée",719.391,96.55,666,Bus
"Aldesago, Via Rava",719.384,96.461,670,Bus
Alesse,0,0,0,Luftseilbahn
Algetshausen-Henau,726.041,256.648,555,"(Zug, Pv geschlossen)"
"Algetshausen, Dorf",725.819,256.554,563,Bus
All'Acqua,679.511,148.819,1612,Bus
Allaman,520.212,147.687,422,Zug
"Allaman, gare",520.209,147.702,422,Bus
Alle,576.587,252.639,450,Zug
Alle centre agricult d'Ajoie,577.65,253.2,455,Zug
"Alle, centre sportif / loisirs",576.063,252.721,449,Bus
"Alle, poste/gare",576.611,252.68,449,Bus
"Alle, rue de l'église",576.627,252.897,450,Bus
"Alle, zone industrielle",577.8,253.224,457,Bus
